X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
145.039100999761047,-37.775307999064694,35627,0,0,3310,HEIDELBERG NR MERTON,POS,M,031E09,0,0,0,0,,OPERATIONAL,,,0,0
145.046733999617203,-37.7717939995253,35628,0,0,3312,LWR HEIDELBERG/MARSHALL,INT,M,031G08,0,0,0,0,,OPERATIONAL,,,0,0
145.059665000470346,-37.772859998863751,35629,0,0,3313,LWR HEIDELBERG NR BURTON,POS,M,031J09,0,0,0,0,,OPERATIONAL,PUFFIN,,0,0
144.800538999624592,-37.744163999545265,35630,0,0,2678,ALFRIEDA NR MAIN EAST,FLASH PX,M,26A01,0,0,0,0,,OPERATIONAL,,,0,0
144.856317000506607,-37.832069998901403,35631,0,0,3499,BLACKSHAWS/MILLS/KYLE,INT,M,055D01,0,0,0,0,,OPERATIONAL,,,0,0
144.849472000567005,-37.819460999203812,35632,0,0,3500,MILLERS NR EAMES,POS,M,041B09,0,0,0,0,,OPERATIONAL,PUFFIN,,0,0
144.848252000016657,-37.831224999199421,35633,0,0,3501,MILLERS/BLACKSHAWS,INT,M,055B01,0,0,0,0,,OPERATIONAL,"Bluetooth,PARTFCRT,RLC,SRLC",,0,0
144.847015999517907,-37.838485999522888,35634,0,0,3502,MILLERS/MASON,INT,M,055A03,0,0,0,0,,OPERATIONAL,,,0,0
144.846407000182552,-37.842081999499563,35635,0,0,3503,MILLERS NR HOBB,POS,M,055A04,0,0,0,0,,OPERATIONAL,PUFFIN,,0,0
144.92484300042571,-37.767158998980925,35636,0,0,3510,MT ALEXANDER/PUCKLE/DEAN,INT,M,028J07,0,0,0,0,,OPERATIONAL,"Bluetooth,TRAM PRI,UPS",,0,0
144.923681000278776,-37.764461998756204,35637,0,0,3511,MT ALEXANDER/KELLAWAY/TAYLORS,INT,M,028J06,0,0,0,0,,OPERATIONAL,,,0,0
144.920940999756908,-37.760027998685338,35638,0,0,3512,MT ALEXANDER (W) NR GRANDISON,POS,M,028H05,0,0,0,0,,OPERATIONAL,,,0,0
144.917782000193426,-37.755011999141189,35639,0,0,3514,MT ALEXANDER/NAPIER/FLETCHER,POS,M,028G04,0,0,0,0,,OPERATIONAL,"PELICAN,TRAM RSV",,0,0
144.914470000452411,-37.750312999435764,35640,0,0,3515,MT ALEXANDER/BREWSTER/THISTLE,INT,M,028G03,0,0,0,0,,OPERATIONAL,TRAM PRI,,0,0
144.906609000399357,-37.738596998708864,35641,0,0,3516,BULLA NR HOLYROOD,POS,M,016E11,0,0,0,0,,OPERATIONAL,PUFFIN,,0,0
145.041649000489031,-37.904152999243976,35642,0,0,3557,NORTH NR CARLYON,POS,M,068E09,0,0,0,0,,OPERATIONAL,ASB WARN,,0,0
145.043916999901541,-37.904439999080772,35643,0,0,3558,NORTH/JASPER/GRANGE,INT,M,068F09,0,0,0,0,,OPERATIONAL,"ASB WARN,Bluetooth",,0,0
145.053924000518577,-37.90570599901082,35644,0,0,3559,NORTH/KOORNANG/TUCKER,INT,M,068H09,0,0,0,0,,OPERATIONAL,ASB WARN,,0,0
145.061754999493871,-37.906669999306317,35645,0,0,3560,NORTH/EAST BOUNDARY/MURRUMBEENA,INT,M,068K09,0,0,0,0,,OPERATIONAL,"ASB WARN,Bluetooth",,0,0
145.074167000478212,-37.908139999103021,35646,0,0,3561,NORTH/POATH/POET,INT,M,069C10,0,0,0,0,,OPERATIONAL,"ASB WARN,Bluetooth",,0,0
145.077618999792008,-37.908559998768048,35647,0,0,3563,NORTH NR JASSA,POS,M,069C10,0,0,0,0,,OPERATIONAL,,,0,0
145.098251000535271,-37.911027999137538,35648,0,0,3565,NORTH NR WINDSOR,POS,M,069H10,0,0,0,0,,OPERATIONAL,,,0,0
